순위,광역시/도,시/군/구,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,검색건수
155,충청남도,천안시 동남구,제화선원,충남 천안시 동남구 중앙로 96-13,역사관광,종교성지,152
156,충청남도,천안시 동남구,천안온천관광개발지역,충남 천안시 동남구 종합휴양지로 0-0,문화관광,기타문화관광지,143
157,충청남도,천안시 동남구,공방고운,충남 천안시 동남구 해정2길 34-27,체험관광,공예체험,128
158,충청남도,천안시 동남구,보광사,충남 천안시 동남구 관성3길 107-0,역사관광,종교성지,127
159,충청남도,천안시 동남구,은석사,충남 천안시 동남구 박문수길 149-1,역사관광,종교성지,126
160,충청남도,천안시 동남구,동산식물원,충남 천안시 동남구 덕성1길 27-0,문화관광,테마공원,122
160,충청남도,천안시 동남구,태화사,충남 천안시 동남구 쌍령1길 434-10,역사관광,종교성지,122
162,충청남도,천안시 동남구,큐리키즈카페천안점,충남 천안시 동남구 청당4로 61-0,문화관광,테마공원,120
162,충청남도,천안시 동남구,천안세계크리스마스축제,충남 천안시 동남구,문화관광,기타문화관광지,120
164,충청남도,천안시 동남구,인디플러스천안,충남 천안시 동남구 중앙로 111-0,문화관광,공연시설,116
165,충청남도,천안시 동남구,충남국학원,충남 천안시 동남구 다가4길 4-11,문화관광,기타문화관광지,114
165,충청남도,천안시 동남구,목천용연저수지낚시터,충남 천안시 동남구,레저스포츠,수상레저스포츠,114
165,충청남도,천안시 동남구,수신메론하늘농원,충남 천안시 동남구 백자3길 52-0,체험관광,농/산/어촌체험,114
168,충청남도,천안시 동남구,문암제,충남 천안시 동남구,자연관광,자연경관(하천/해양),113
169,충청남도,천안시 동남구,한세족구아카데미,충남 천안시 동남구 천안천7길 16-0,레저스포츠,기타레저스포츠,111
169,충청남도,천안시 동남구,황룡사,충남 천안시 동남구 태조산길 13-43,역사관광,종교성지,111
171,충청남도,천안시 동남구,수신멜론축제,충남 천안시 동남구 수신로 576-0,문화관광,기타문화관광지,107
172,충청남도,천안시 동남구,천안예술의전당문화센터,충남 천안시 동남구 종합휴양지로 185-0,문화관광,공연시설,104
173,충청남도,천안시 동남구,풍세파크골프장,충남 천안시 동남구,레저스포츠,육상레저스포츠,101
174,충청남도,천안시 동남구,블럭팡팡천안신방통정점,충남 천안시 동남구 통정3로 68-0,문화관광,테마공원,95
175,충청남도,천안시 동남구,위너싸커스쿨,충남 천안시 동남구 천안천변길 79-15,레저스포츠,기타레저스포츠,94
176,충청남도,천안시 동남구,단추어린이미술체험관,충남 천안시 동남구 해정3길 26-0,문화관광,전시시설,90
177,충청남도,천안시 동남구,아우내독립만세운동기념공원,충남 천안시 동남구 아우내장터1길 12-23,문화관광,도시공원,88
178,충청남도,천안시 동남구,무애암,충남 천안시 동남구 대추1길 36-0,역사관광,종교성지,84
178,충청남도,천안시 동남구,문향원,충남 천안시 동남구 교촌1길 95-18,체험관광,농/산/어촌체험,84
180,충청남도,천안시 동남구,천안호두축제,충남 천안시 동남구 해수길 40-0,문화관광,기타문화관광지,82
181,충청남도,천안시 동남구,성남면체육공원,충남 천안시 동남구 세성로 139-31,문화관광,도시공원,81
182,충청남도,천안시 동남구,중앙공원,충남 천안시 동남구 통정10로 58-0,문화관광,도시공원,79
182,충청남도,천안시 동남구,히센트,충남 천안시 동남구 원거리11길 17-0,체험관광,공예체험,79
184,충청남도,천안시 동남구,홍순환탁구클럽,충남 천안시 동남구 청당2길 118-0,레저스포츠,기타레저스포츠,77
185,충청남도,천안시 동남구,동스풋살장,충남 천안시 동남구 5산단로 361-0,문화관광,레저스포츠시설,73
186,충청남도,천안시 동남구,아트센터소극장,충남 천안시 동남구 대흥로 328-0,문화관광,공연시설,71
186,충청남도,천안시 동남구,천안시승마연합회승마장,충남 천안시 동남구,레저스포츠,육상레저스포츠,71
186,충청남도,천안시 동남구,플레이타임홈플러스구성점,충남 천안시 동남구 천안대로 574-0,문화관광,테마공원,71
186,충청남도,천안시 동남구,단국대학교장미정원,충남 천안시 동남구,기타관광,기타관광,71
190,충청남도,천안시 동남구,무운사,충남 천안시 동남구 사담2길 74-0,역사관광,종교성지,69
191,충청남도,천안시 동남구,행복농원,충남 천안시 동남구 송전1길 59-0,체험관광,농/산/어촌체험,68
191,충청남도,천안시 동남구,유영농원나무시장,충남 천안시 동남구 충절로 1440-0,체험관광,농/산/어촌체험,68
193,충청남도,천안시 동남구,천안시민체육공원,충남 천안시 동남구,문화관광,도시공원,64
194,충청남도,천안시 동남구,태조산등산로입구,충남 천안시 동남구,자연관광,자연경관(산),62
194,충청남도,천안시 동남구,보광사,충남 천안시 동남구 청수3길 37-0,역사관광,종교성지,62
194,충청남도,천안시 동남구,이브이샵천안점,충남 천안시 동남구 청수7로 10-9,레저스포츠,기타레저스포츠,62
197,충청남도,천안시 동남구,이안아트팜,충남 천안시 동남구 유량로 280-0,체험관광,농/산/어촌체험,61
197,충청남도,천안시 동남구,동방생활산업,충남 천안시 동남구 5산단로 182-0,쇼핑,쇼핑몰,61
199,충청남도,천안시 동남구,타악공간소리벼리,충남 천안시 동남구 신용로 29-0,문화관광,기타문화관광지,60
200,충청남도,천안시 동남구,일봉산공원,충남 천안시 동남구,문화관광,도시공원,58
200,충청남도,천안시 동남구,천안함추모공원,충남 천안시 동남구 태조산길 261-0,문화관광,도시공원,58
200,충청남도,천안시 동남구,제일육묘장,충남 천안시 동남구 송정2길 131-21,체험관광,농/산/어촌체험,58
203,충청남도,천안시 동남구,천안성거산위례성,충남 천안시 서북구,역사관광,역사유적지,57
204,충청남도,천안시 동남구,안양암,충남 천안시 동남구 광덕사길 17-0,역사관광,종교성지,56
205,충청남도,천안시 동남구,도선사,충남 천안시 동남구 덕전2길 83-0,역사관광,종교성지,55
206,충청남도,천안시 동남구,마틴공원,충남 천안시 동남구,문화관광,도시공원,51
207,충청남도,천안시 동남구,연화사,충남 천안시 동남구 납안1길 9-70,역사관광,종교성지,48
207,충청남도,천안시 동남구,흑성산관광홍보관,충남 천안시 동남구,문화관광,기타문화관광지,48
207,충청남도,천안시 동남구,천안신방도서관한뼘미술관,충남 천안시 동남구 통정4로 7-0,문화관광,전시시설,48
210,충청남도,천안시 동남구,푸른조각공원,충남 천안시 동남구 만남로 43-0,문화관광,도시공원,47
210,충청남도,천안시 동남구,자매저수지,충남 천안시 동남구 자무실길 0-0,자연관광,자연경관(하천/해양),47
212,충청남도,천안시 동남구,백운암,충남 천안시 동남구 운전4길 13-0,역사관광,종교성지,46
212,충청남도,천안시 동남구,복전사,충남 천안시 동남구 봉항로 407-1,역사관광,종교성지,46
214,충청남도,천안시 동남구,병천버스터미널,충남 천안시 동남구 충절로 1757-0,기타관광,교통시설,44
215,충청남도,천안시 동남구,원성동공유공간100,충남 천안시 동남구 원거리3길 10-0,문화관광,기타문화관광지,43
216,충청남도,천안시 동남구,고불사,충남 천안시 동남구,역사관광,종교성지,42
216,충청남도,천안시 동남구,현암사,충남 천안시 동남구 해사동길 121-0,역사관광,종교성지,42
218,충청남도,천안시 동남구,오천재,충남 천안시 동남구 정골2길 7-25,역사관광,역사유적지,40
218,충청남도,천안시 동남구,목천향교,충남 천안시 동남구 교촌6길 7-0,역사관광,역사유적지,40
218,충청남도,천안시 동남구,보문사,충남 천안시 동남구 가전7길 65-6,역사관광,종교성지,40
218,충청남도,천안시 동남구,유왕골계곡,충남 천안시 동남구,자연관광,자연경관(산),40
222,충청남도,천안시 동남구,천안지역사전시관,충남 천안시 동남구 사직2길 22-0,문화관광,전시시설,38
222,충청남도,천안시 동남구,전씨시조단소및재실,충남 천안시 동남구 금호1길 117-10,역사관광,역사유적지,38
224,충청남도,천안시 동남구,목천농원,충남 천안시 동남구 덕전1길 39-35,체험관광,농/산/어촌체험,37
224,충청남도,천안시 동남구,광덕사슴목장,충남 천안시 동남구 성산1길 56-0,체험관광,농/산/어촌체험,37
226,충청남도,천안시 동남구,풍세메추리농장,충남 천안시 동남구 금호1길 55-0,체험관광,농/산/어촌체험,36
227,충청남도,천안시 동남구,상원사,충남 천안시 동남구 소반점길 207-2,역사관광,종교성지,34
228,충청남도,천안시 동남구,성남농장,충남 천안시 동남구 봉양1길 287-0,체험관광,농/산/어촌체험,33
228,충청남도,천안시 동남구,박문수어사유물관,충남 천안시 동남구 박문수길 174-1,문화관광,전시시설,33
228,충청남도,천안시 동남구,행암낚시터,충남 천안시 동남구,레저스포츠,수상레저스포츠,33
231,충청남도,천안시 동남구,천안낭만극장,충남 천안시 동남구 버들로 41-0,문화관광,공연시설,32
231,충청남도,천안시 동남구,천안천어린이공원,충남 천안시 동남구,문화관광,도시공원,32
231,충청남도,천안시 동남구,랫츠크래프트노드랩,충남 천안시 동남구 양지4길 6-1,체험관광,공예체험,32
234,충청남도,천안시 동남구,보산선원,충남 천안시 동남구 보산원로 183-0,역사관광,종교성지,31
234,충청남도,천안시 동남구,대한불교법상종보문사,충남 천안시 동남구 차돌고개3길 3-0,역사관광,종교성지,31
236,충청남도,천안시 동남구,양반유통,충남 천안시 동남구 순천향1길 7-0,쇼핑,시장,30
237,충청남도,천안시 동남구,커피에반하나,충남 천안시 동남구 교촌1길 38-17,체험관광,농/산/어촌체험,29
237,충청남도,천안시 동남구,광안사,충남 천안시 동남구 광풍로 285-70,역사관광,종교성지,29
237,충청남도,천안시 동남구,수남낚시터,충남 천안시 동남구 수남1길 109-24,레저스포츠,기타레저스포츠,29
237,충청남도,천안시 동남구,요한멜론농장,충남 천안시 동남구,체험관광,농/산/어촌체험,29
237,충청남도,천안시 동남구,운봉밤농장,충남 천안시 동남구 위례성로 1434-40,체험관광,농/산/어촌체험,29
242,충청남도,천안시 동남구,목천나무꾼,충남 천안시 동남구,체험관광,농/산/어촌체험,28
242,충청남도,천안시 동남구,필봉사,충남 천안시 동남구 백자1길 12-11,역사관광,종교성지,28
